,ticker,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,A,NA,NA,NA,NA,NA,NA,NA,NA,126554,126554,126554,126554,126554,126554,126554,126554,126554,126554,126554,126554,126554,126554,126554,126554,126554,126554,126554,126554,126554,126554,126554,126554,NA
2,AAL,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,1045,NA
3,AAP,NA,NA,NA,NA,NA,NA,NA,NA,NA,145977,145977,145977,145977,145977,145977,145977,145977,145977,145977,145977,145977,145977,145977,145977,145977,145977,145977,145977,145977,145977,145977,145977,NA
4,AAPL,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,1690,NA
5,ABBV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16101,16101,16101,16101,16101,16101,16101,16101,16101,16101,16101,16101,16101,16101,NA
6,ABC,NA,NA,NA,NA,31673,31673,31673,31673,31673,31673,31673,31673,31673,31673,31673,31673,31673,31673,31673,31673,31673,31673,31673,31673,31673,31673,31673,31673,31673,31673,31673,31673,NA
7,ABMD,13619,13619,13619,13619,13619,13619,13619,13619,13619,13619,13619,13619,13619,13619,13619,13619,13619,13619,13619,13619,13619,13619,13619,13619,13619,13619,13619,13619,13619,13619,13619,13619,NA
8,ABT,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,1078,NA
9,ACN,NA,NA,NA,NA,NA,NA,NA,NA,143357,143357,143357,143357,143357,143357,143357,143357,143357,143357,143357,143357,143357,143357,143357,143357,143357,143357,143357,143357,143357,143357,143357,143357,143357
10,ADBE,12540,12540,12540,12540,12540,12540,12540,12540,12540,12540,12540,12540,12540,12540,12540,12540,12540,12540,12540,12540,12540,12540,12540,12540,12540,12540,12540,12540,12540,12540,12540,12540,NA
11,ADI,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,1632,NA
12,ADM,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,1722,NA
13,ADP,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891
14,ADSK,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,1878,NA
15,AEE,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860,10860,NA
16,AEP,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,1440,NA
17,AES,24216,24216,24216,24216,24216,24216,24216,24216,24216,24216,24216,24216,24216,24216,24216,24216,24216,24216,24216,24216,24216,24216,24216,24216,24216,24216,24216,24216,24216,24216,24216,24216,NA
18,AFL,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,1449,NA
19,AIG,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,NA
20,AIZ,NA,NA,NA,NA,NA,NA,NA,NA,157057,157057,157057,157057,157057,157057,157057,157057,157057,157057,157057,157057,157057,157057,157057,157057,157057,157057,157057,157057,157057,157057,157057,157057,NA
21,AJG,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,NA
22,AKAM,NA,NA,NA,NA,NA,NA,NA,NA,125595,125595,125595,125595,125595,125595,125595,125595,125595,125595,125595,125595,125595,125595,125595,125595,125595,125595,125595,125595,125595,125595,125595,125595,NA
23,ALB,NA,NA,29751,29751,29751,29751,29751,29751,29751,29751,29751,29751,29751,29751,29751,29751,29751,29751,29751,29751,29751,29751,29751,29751,29751,29751,29751,29751,29751,29751,29751,29751,NA
