"","ticker","tic","gvkey"
"1","AAPL","AAPL",1690
"2","MSFT","MSFT",12141
"3","AMZN","AMZN",64768
"4","TSLA","TSLA",184996
"5","GOOGL","GOOGL",160329
"6","BRK.B","BRK.B",2176
"7","UNH","UNH",10903
"8","NVDA","NVDA",117768
"9","JNJ","JNJ",6266
"10","XOM","XOM",4503
"11","PG","PG",8762
"12","V","V",179534
"13","JPM","JPM",2968
"14","CVX","CVX",2991
"15","HD","HD",5680
"16","MA","MA",160225
"17","PFE","PFE",8530
"18","LLY","LLY",6730
"19","KO","KO",3144
"20","PEP","PEP",8479
"21","COST","COST",29028
"22","BAC","BAC",7647
"23","TMO","TMO",10530
"24","MRK","MRK",7257
"25","AVGO","AVGO",180711
"26","ADBE","ADBE",12540
"27","MCD","MCD",7154
"28","ACN","ACN",143357
"29","DIS","DIS",3980
"30","VZ","VZ",2136
"31","ABT","ABT",1078
"32","CSCO","CSCO",20779
"33","WMT","WMT",11259
"34","DHR","DHR",3735
"35","CRM","CRM",157855
"36","CMCSA","CMCSA",3226
"37","NEE","NEE",4517
"38","QCOM","QCOM",24800
"39","TXN","TXN",10499
"40","WFC","WFC",8007
"41","AMD","AMD",1161
"42","BMY","BMY",2403
"43","PM","PM",179621
"44","LIN","LIN",25124
"45","INTC","INTC",6008
"46","NKE","NKE",7906
"47","UPS","UPS",10920
"48","UNP","UNP",10867
"49","RTX","RTX",10983
"50","T","T",9899
"51","AMGN","AMGN",1602
"52","HON","HON",1300
"53","SPGI","SPGI",7163
"54","INTU","INTU",27928
"55","CVS","CVS",7241
"56","MDT","MDT",7228
"57","LOW","LOW",6829
"58","AMT","AMT",105365
"59","COP","COP",8549
"60","ORCL","ORCL",12142
"61","IBM","IBM",6066
"62","MS","MS",12124
"63","ELV","ELV",145046
"64","GS","GS",114628
"65","SCHW","SCHW",13988
"66","LMT","LMT",6774
"67","ADP","ADP",1891
"68","C","C",3243
"69","NFLX","NFLX",147579
"70","CAT","CAT",2817
"71","SBUX","SBUX",25434
"72","PLD","PLD",29984
"73","BLK","BLK",124434
"74","DE","DE",3835
"75","AMAT","AMAT",1704
"76","AXP","AXP",1447
"77","BA","BA",2285
"78","MDLZ","MDLZ",142953
"79","ADI","ADI",1632
"80","CI","CI",2547
"81","ISRG","ISRG",136725
